lights_lr,final_lights_lr,densify_start,sh_interval
5.00E-03,5.00E-03,1000,1000
5.00E-03,5.00E-03,1000,1500
5.00E-03,5.00E-03,1000,2000
5.00E-03,5.00E-03,1500,1000
5.00E-03,5.00E-03,1500,1500
5.00E-03,5.00E-03,1500,2000
5.00E-03,5.00E-03,2000,3000

