test_SSIM,sh_interval,error,densify_start,test_LPIPS,output_folder,psnr,final_lights_lr,lights_lr,test_PSNR,gpu_id
0.7042219638824463,2000,,3000,0.3406735956668854,output/ll5.00E-03_fll5.00E-03_ds3000_si2000,23.41178262255923,5.00E-03,5.00E-03,23.907154083251953,2
0.6989102363586426,2000,,1500,0.35221558809280396,output/ll5.00E-03_fll5.00E-03_ds1500_si2000,23.655267248620333,5.00E-03,5.00E-03,23.821516036987305,0
0.7004222869873047,2000,,2000,0.3523910641670227,output/ll5.00E-03_fll5.00E-03_ds2000_si2000,23.470530283722702,5.00E-03,5.00E-03,23.841196060180664,1
0.6980726718902588,3000,,1500,0.350670725107193,output/ll5.00E-03_fll5.00E-03_ds1500_si3000,23.511149910332154,5.00E-03,5.00E-03,23.826311111450195,3
0.7033072113990784,3000,,3000,0.34914708137512207,output/ll5.00E-03_fll5.00E-03_ds3000_si3000,23.479944072956666,5.00E-03,5.00E-03,23.853958129882812,1
,3000,Process failed and no JSON output file found,3000,,output/ll1.00E-02_fll1.00E-02_ds3000_si3000,,1.00E-02,1.00E-02,,0
0.7002125382423401,3000,,2000,0.347813218832016,output/ll5.00E-03_fll5.00E-03_ds2000_si3000,23.58668856639417,5.00E-03,5.00E-03,23.81011199951172,0
0.6975895762443542,3000,,2000,0.3494764268398285,output/ll2.50E-03_fll2.50E-03_ds2000_si3000,23.358151377398254,2.50E-03,2.50E-03,23.841228485107422,3
0.6928408741950989,3000,,1500,0.3550166189670563,output/ll1.00E-03_fll1.00E-03_ds1500_si3000,23.238311454787972,1.00E-03,1.00E-03,23.71569061279297,2
