output_folder,final_lights_lr,sh_interval,gpu_id,densify_start,test_SSIM,error,psnr,lights_lr,test_PSNR,test_LPIPS
output/ll5.00E-03_fll5.00E-03_ds1500_si1000,5.00E-03,1000,3,1500,0.6951034665107727,,23.636194620522957,5.00E-03,23.653701782226562,0.3560621738433838
output/ll5.00E-03_fll5.00E-03_ds1000_si1000,5.00E-03,1000,0,1000,,Process failed and no JSON output file found,,5.00E-03,,
output/ll5.00E-03_fll5.00E-03_ds1000_si2000,5.00E-03,2000,2,1000,0.6950021386146545,,23.72862350581204,5.00E-03,23.805038452148438,0.35505783557891846
output/ll5.00E-03_fll5.00E-03_ds1000_si1500,5.00E-03,1500,1,1000,0.6969285607337952,,23.739310048703878,5.00E-03,23.663915634155273,0.353617399930954
output/ll5.00E-03_fll5.00E-03_ds2000_si3000,5.00E-03,3000,2,2000,0.7002125382423401,,23.58668856639417,5.00E-03,23.81011199951172,0.347813218832016
output/ll5.00E-03_fll5.00E-03_ds1500_si1500,5.00E-03,1500,0,1500,0.6981579661369324,,23.693506269149093,5.00E-03,23.766767501831055,0.35239478945732117
output/ll5.00E-03_fll5.00E-03_ds1500_si2000,5.00E-03,2000,1,1500,0.6989102363586426,,23.655267248620333,5.00E-03,23.821516036987305,0.35221558809280396
